title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
9,movie,"""Action, Adventure, Animation""",2009,tt0472033,7,150594,"""LI"""
42,movie,"""Biography, Drama, Sport""",2013,tt0453562,7.5,104384,"""JP"""
360,movie,"""Crime, Drama, Mystery""",2011,tt1680045,6.1,17593,"""AT, CA, DE"""
1870,movie,"""Drama, History""",1972,tt0066948,6.6,105,"""DK, FI, IS, NO, SE"""
1945,movie,"""Drama""",2017,tt5815492,7.1,4369,"""HU, IT, SM, US, VA"""
#Followme,movie,"""Horror, Thriller""",2019,tt7272948,3.6,659,"""IS, US"""
10 Truths About Love,movie,"""Comedy, Romance""",2022,tt15483404,6,630,"""AU, IT, NZ, SM, VA"""
101 Inventions That Changed the World,movie,"""Documentary, History, War""",2012,tt2979112,7.8,20,"""US"""
102 Not Out,movie,"""Comedy, Drama""",2018,tt6580564,7.4,7633,"""AE, AG, AO, AR, AU, BB, BF, BH, BM, BO, BR, BS, BZ, CA, CD, CI, CL, CM, CO, CR, CU, DO, DZ, EC, EG, ES, GB, GF, GG, GH, GI, GT, GY, HK, HN, ID, IL, IN, IQ, JM, JO, KE, KR, KW, LB, LC, LY, MA, MC, MG, MK, ML, MW, MX, MY, MZ, NE, NG, NI, NZ, OM, PA, PE, PF, PG, PH, PK, PS, PY, QA, SA, SG, SN, SV, TC, TD, TH, TN, TT, TW, TZ, UG, US, UY, VE, YE, ZA, ZM, ZW"""
1122: For a Happy Marriage,tv,"""Drama, Romance""",2024,tt31039807,7.1,79,"""AD, AL, AU, BA, BH, CA, CI, DZ, GB, GF, GG, GH, GI, HK, ID, IN, IS, JP, KE, KR, LI, LY, MA, MC, MD, MK, MY, MZ, NE, NG, NZ, PF, PH, PK, RS, SG, SM, TH, TN, TW, UG, US, VA, ZA, ZM"""
12 12 12,movie,"""Sci-Fi""",2014,tt2353755,5,54,"""ES, GB, GG, IE"""
1409. Afera na zamku Bartenstein,movie,"""Comedy""",2005,tt0491713,4.5,113,"""PL"""
16 Wishes,movie,"""Drama, Family, Fantasy""",2010,tt1646876,5.4,16377,"""BE, CH, FR"""
18 Vayasu,movie,"""Action, Thriller""",2012,tt2877914,6.1,28,"""AG, AU, BB, BM, BS, BZ, CA, CM, GH, GI, GY, IE, JM, KE, LC, MW, NG, NZ, PG, PH, TC, TT, UG, US, ZA"""
1st Amendment Stand Up,tv,"""Comedy, Documentary""",2005,tt0479822,7,79,"""US"""
2 Years of Love,movie,"""Romance""",2017,tt3752610,4.4,359,"""DK, FI, NO, SE, US"""
2016 the End,movie,"""Comedy""",2017,tt7367966,4.8,135,"""AG, BB, BS, CM, DK, FI, GH, GY, IN, IS, JM, KE, MW, NG, NO, SE, TT, UG, ZA"""
21 Hours at Munich,movie,"""Drama, History, Sport""",1976,tt0074085,6.3,1260,"""US"""
21 Jump Street,movie,"""Action, Comedy, Crime""",2012,tt1232829,7.2,611495,"""AG, AR, BB, BO, BR, BZ, CL, CO, CR, DK, DO, EC, FI, FR, GT, GY, HN, JM, JP, LC, MC, MX, NI, NO, PA, PE, PY, SE, SV, TC, TT, UY, VE"""
22 Bullets,movie,"""Action, Crime, Drama""",2010,tt1167638,6.6,36873,"""AD, AT, DE, ES, GB, IT, SM, US, VA"""
24 Seven,movie,"""Crime, Drama, Mystery""",2013,tt2069948,4.8,256,"""AR, BO, CL, CM, CO, CR, DO, EC, GH, GT, GY, HN, KE, MW, MZ, NG, NI, PA, PE, PY, SV, UG, US, UY, VE, ZA"""
25 Years of UK Garage,movie,"""Documentary""",2022,tt15612416,7.3,554,"""GB, GG, IE"""
29 + 1,movie,"""Comedy, Drama, Fantasy""",2017,tt6095004,6.7,594,"""JP"""
